c.commentId,text,category
Ugyk0fM2sLVhDUABx4F4AaABAg,"Sentire ""calcio pulito"" e veder apparire la locandina con su Moggi è da pisciarsi addosso dal ridere 🤣🤣🤣🤣 LA VERITAAAAAAAAHHH 😂😂😂😂😂",Disinformazione
Ugx965vcamSWdDGl1LF4AaABAg,Un vero capitano nn deve mai abbandonare la propria nave...Io già nel 2006 avevo capito che era farsopoli. Abbasso i m....rri. Io più di prima tifo Juve.,Discriminatorio
UgymS7JHDIcR1om3e6R4AaABAg,Ma mesi fa la nazionale non era stata definita Italinter?,Negativo
UgzfcKmLtTR5_SiYLbl4AaABAg,"Ma quale calcio pulito? Ma quale Giustizia? Io credo che tutto questo sia pilotato per coprire gli scandali dell'Inter che sono decenni che fanno e con la complicità di tutti. Siamo tornati indietro negli anni, la Juve è vittima.",Complottismo
Ugwlxj0UuZqYsJoNOex4AaABAg,Bravo dottore complimenti.... video interessantissimo....,Positiva
Ugy2Lr4NuyRYRm80UJd4AaABAg,Splendido film,Positiva
Ugyp69RUJ7T-h4vqhZx4AaABAg,"Vero, m é capitato questo ... é successo l anno scorso, diverbi col proprietario di casa che hanno fatto traboccare il vaso ...",Neutrale
UgxZayW1LYSTrnj2_0Z4AaABAg,Quello che c'è intorno a noi è tanto importante quanto quello che c'è dentro di noi,Neutrale
Ugx5MUWso7EEyVbHWLZ4AaABAg,Giustissimo,Positiva
Ugy-Mc2FfFaRFrK5b2d4AaABAg,"100 Euro per tre quarti d'ora di aiuto psicologico.   Si guarisce la psiche ma si muore di fame.  Meglio pazzi con la pancia piena .  Sto mondo è uno schifo, di cosa stiamo parlando???",Negativo
UgzNBttIwQUKmXb82iN4AaABAg,Grazie 🙏  Lei è un diamante in mezzo al deserto ❤,Positiva
Ugw35pN1WGe6UjA-s2p4AaABAg,Ma chi lo ha detto anche questi suoni sono rilassanti? Che angoscia... Mi riferisco ai suoni di sottofondo,Negativo
UgxJPD2YRX3vsIMsyc14AaABAg,"Purtroppo si trovano persone incompetenti anche nel pubblico, non solo nel privato. E poi i costi di una psicoterapia sono veramente alti, accessibile a pochi. Come diceva Marco Vaggi in un'intervista, la casa, il lavoro (non sottopagato o a sfruttamento) fanno parte della cura. Ma in Italia è tutto allo sfascio.",Negativo
UgyLTij__cGONQD91oR4AaABAg,"Ciao ,non voglio essere contro o complottista ,però una domanda si i dr hanno studiato i malesseri vari ,ma si tratta di studio non si averli provati  o se provati ognuno reagisce in maniera diversa ,poi per certi dottori non guarisci mai nel senso e vero dopo una lesione espio fisico o psichico o psichico fisico si  e sensibili ,però non e detto che espio un depresso vede tutto sempre nero perché se da normale prima era acetato perché un po' di guardia era accettata adesso che e depresso lo vedono acetato in parte e vero ma non del tutto perché se l'esterno gioca a fare credere che sei più depresso o depresso inutile ma e solo loro gioco per invalidarti be non e del tutto vero che uno vede nero totale poi se uno si cura totale espio le sue cure magia bene fai attività li si ci sono miglioramenti ma il problema e con chi stai vicino uno perché l'umano tradisce prima o poi, poi vero certi non sono cattivi ma lo fanno per sopravvivenza o certi ti lasciano in dietro perché sei un peso e credono che li fai affondare ma se dicono che ti aiutano ma se pesano come o descritto che aiuto e ?
Poi visto che quando uno parla o si crede o no ma però non sai la verità come un medico che dice di aver studiato di sapere il status di una persona sia in partenza che il percorso se lo vede solo nei colloqui o si affida a chi li dice ma chi li dice se li sei antipatico o li stai sulle scatole invalida il percorso come può uno vedere il cambiamento o lo status principale ?
Poi uno studio non e divinità o rispettabile e sempre uno studio si meglio di uno che non sa niente ma sempre uno studio e il qualsiasi dr e una persona non e un che sa o divinità che rileva bene o male o se sei malato o sano o veritiero o falso ,si basa sulle sensazioni il più e i segni che uno a o che dimostra espio ogni cosa e a interpretazione quindi un dr può sbagliare ?si  ,con questo non voglio dire che quello che dice sulle cinque are siano sbagliate o e se la genetica e il primo passo per live e accettabile al inizio sensibilità o chiamato mi fido o non mi fido o mi fascio la testate per evitare il danno maggiore ,quindi si e importante lo studio o l'osservare  ma se e di parte o piccole parti o da altre persone e affidamento non il totale perché se devi vedere o sentire bisognerebbe un mondo di bodi CAM e ogni stanza o e esterna telecamere per visualizzare bene il globale così chi nasconde quando e nel punto ceco quando nessuno lo vede adesso lo vede e lo sente a mio avviso poi ogni persona tira l'acqua a suo mulino quindi dopo un po' anche con questa tecnica pensa e crede quello che vuole come all'inizio del punto ceco e idem e stata con l'empatia  radar come parla Gennaro romagnoli di uno come si sente e lo status di uno ,poi faccio un espio in un Lugo hanno fatto un obelisco e al terreno hanno fatto un Qubo con quattro facciate ,tu le vedresti tutte e quattro no al massimo due di lato ,se ti affidi poi ad altri la visione e sensazione ed empatia o cosa trasmette e diversa dalla propia .quindi si uno accetta quello che offre il mondo ma non e così perfetto ma il più si vedono le cose quindi in certi punti sei credibile e veritiero in altre nascondi o non fai vedere tutto o il tuo potenziale per comprendere meglio e in altre sei ripetitivo magari in maniera diversa e in altre aggiungi cose in più o cose che non dici proprio perché non spieghi bene o ti nascondi perché devi essere rispettato da dr ,ma non serve essere stesso partito espio dr con dr per apprendere certe cose perché si e persone tutti sia donne che uomini c'è dr che studiosi che normali o asino  ognuno offre il suo ,perché il dr non è una figura al disopra di tutto a solo osservato certi punti e non e detto che sia il migliore o che c'è la faccia dasolo anche se a un equipe ogni persona e data a se e le altre persone si comportano in una certa maniera davanti a una persona sia che sia studiata o meno ,se vedete c'è guerra anche fra di voi che volete li spicco o chi a più ragione o la cura migliore se non si e trasparenti e un piccolo tuffo in giù poi volte che uno sa cosa fare però avete paura che uno vo superi senza uno studio ma io dico accettiamo gli le visioni di ognuno poi si vedrà e vero certe cose rimangono ovaie ma la strada per stare un po' meglio e l'unione non ego da chi sta al vertice  il resto safri abile o privilegio ma un ecosistema dove tutti fanno parte di tutto e ci si dà una mano a vicenda senza stare al vertice e credere di essere chi sa chi .",Negativo
UgwfoGw3JTc8zq_r2HZ4AaABAg,Attenzione! Tre ordine di grandezza non è un valore moltiplicato per tre ma è quel valore moltiplicato x 10 al cubo!,Neutrale
UgwAVcJhVQxSo4GEaHp4AaABAg,"Ciao doc... Purtroppo ho abbandonato il video dopo qualche minuto, di premesse, di sguardi al copione e di temporeggiamenti.. ultimamente ti trovo poco spontaneo .... Ti stimo e ti ammiro,  ma mi sembra di guardare uno di quei programmi che per dirti una cosa, ci mettono  tante ripetizioni inutili, tanto per arrivare ad i 30 minuti della puntata.... Sebbene fossi stato interessato, ho abbandonato 👋👋",Negativo
UgwpIKZrt8UKxRwyiGt4AaABAg,🙏grazie,Positiva
UgyfuW14fdqfrh3vlot4AaABAg,Anche una vita sessuale disordinata e caotica secondo molti studi può innescare patologie mentali forse anche xche la natura la biologia ci dice non scherziamo Col sesso xche con esso si concepisce una vita un figlio.😊😂❤,Neutrale
UgxRMpw6Em21BG5NsaB4AaABAg,"Caro dottore,  lei sta dando ormai ogni giorno un messaggio indispensable a farci stare bene: il Mondo come lo conosciamo ci fa stare male, spesso senza che ce ne accorgiamo. 
Io la ringrazio, perché lei mi sta davvero aiutando nel mio percorso. 
La prego continui, GRAZIE GRAZIE GRAZIE! 
La divulgazione che offre è davvero preziosa e sempre più urgente.",Positiva
UgycJ6GrgbjL6P_uWbl4AaABAg,Un altra causa è la gente provincialotta che parla male di tutti ...ma mai di se stessa,Negativo
UgxO7MgunKmuDB8o-FJ4AaABAg,Aver sbagliato marito puo essere una causa,Neutrale
Ugx6XBAA973cfVM6_sB4AaABAg,"Dott rossi con tutto il rispetto c'è gente anche che non ha la possibilità di andare dal privato . Io vado tramite asl ,con il mio psichiatria, però una domanda cosa cambia tra privato e quello non privato ? Però grazie tutto quello che fsi dottore grazie .",Neutrale
UgxdKg5sB16Gc3XACSh4AaABAg,"Grande Doct, come sempre molto  preciso, ma soprattutto sincero / onesto....
Sta' mettendo su un bel fisico 💪💪💪",Positiva
Ugye5EdPn0Sk7I1_c6p4AaABAg,...io sono dell'idea che il problema principale dei disturbi mentali (esclusi i casi dianomalie fisiologico) è il benessere...se le persone nel benessere toccassero con mano la miseria...ci sarebbero meno disturbi mentali...🧐,Neutrale
UgyKelYrFwb8JDTx-p54AaABAg,"Invecchiare non piace a nessuno, ma non accettarlo fa vivere solo peggio e rende ridicoli e patetici.",Negativo
UgzJu_Y_oXQ0RkivveR4AaABAg,Fatevi i cazzi vostri,Negativo
UgxCTgyQsKDu_tpDLgF4AaABAg,Anche imparare ad accettare il fatto che tutti noi invecchiamo è un buon metodo secondo me.,Neutrale
Ugy4HY31EwVmgn3fi094AaABAg,Spettacolare consapevolezza ❤️💪🏻,Positiva
Ugwn0gqlcKsJbyeDEaJ4AaABAg,"No ,non voglio vivere più a lungo",Negativo
Ugx4-MfpEsk4KIaS-WZ4AaABAg,Molto molto interessante! Vi aspetto qui... :),Positiva
UgzUh_320XqL0fSH50Z4AaABAg,1979,Neutrale
UgxZCnyZWSEo8Pd8pON4AaABAg,"Penso che Apollo avrebbe battuto rocky, lang, drago e tutti gli altri se con la giusta motivazione. Pugilisticamente era anni luce avanti",Neutrale
UgxcwJHTTlFY6n7tGf14AaABAg,"La frase della mia vita:
""Uno/a così non deve entrarci nella nostra vita e se per caso ci entra e ne esce lo/a dobbiamo lasciar stare.""

Il mondo è pieno di persone buttare agli angoli della strada, sui marciapiedi, appesi ai balconi, appese ai treni, etc etc..
Non ci imcaponiamo con una persona!!!!!!
Siamo OTTO miliardi!!",Neutrale
UgxUKcGBDqDM5d3Xi1R4AaABAg,Se Apollo non avesse ascoltato il suo orgoglio e avesse pensato solo alla propria convenienza non sarebbe mai nato Rocky.,Neutrale
UgzQARDnX_whG9zTQql4AaABAg,"Tony non poteva dire di meglio per ottenere l'effetto contrario a quello sperato. Scena meravigliosa, la mia preferita del film.",Positiva
UgxLMuDG_qdfsn2R97d4AaABAg,"La verità?
Sì 
Non è l'uomo che fa per te
🤫🤫🤫",Neutrale
Ugx1Rr4SFlrE5NDC9Th4AaABAg,"a parte il film di suo che già è un capolavoro, ma i doppiatori italiani sono anche una roba pazzesca... madonna santa che roba da brividi  😱😱",Positiva
Ugw7K4igzBGJQlE-SXF4AaABAg,"Gran bel personaggio anche quello dell'allenatore Tony ""Duke"" Evers, che ""impersona"" la coscienza, il buon senso che Apollo ha smarrito e semplicemente non vuole ascoltare.",Positiva
UgzmxQcC9DkiEYIPuyh4AaABAg,"Due grandi attori che non ci sono più Apollo , Tony R.i.p.",Positiva
UgwLwEQmFuozESh4CTN4AaABAg,Probabilmente uno dei momenti più intensi del film,Positiva
Ugww-gkaeUYsbCr-sMJ4AaABAg,"Il campione sei tu...ha portato sfiga per Rocky 2, 3 e 4😊",Neutrale
Ugxu9gyPwE0yLEIsft94AaABAg,Cazzo che dialoghi... Fantastico,Positiva
Ugy6nDzvwEmg7LDKa3V4AaABAg,LASCIALO STARE QUELLO LASCIALO STARE QUELLO AHAHAHAHAHAH,Neutrale
UgwagwBtb-1ETHEFKO54AaABAg,"Dialogo stratosferico, per intensità.. tutto.",Positiva
Ugw-dOMp4lY7PvTSQbJ4AaABAg,Insomma .. quale è questa verità???,Neutrale
UgzCZqelNvTR-wX-T8h4AaABAg,Scena cult!!!,Positiva
UgzEYfRJzaYz2-VYrx54AaABAg,Grande film ❤❤❤❤❤❤,Positiva
UgyvlbGJGyTnamyY7Eh4AaABAg,Lascialo perdere quel pagliaccio,Negativo
UgwRXa8EnAz-g71tTXp4AaABAg,"Mayweather, l’ha sentito molte volte questo discorso, e l’ha pure ascoltato",Neutrale
Ugzo1nsryzk_Tdb73op4AaABAg,"Ce una scena in rocky 4 nell inconrro con drago dove rocky sta ricevendo tanti cazzotti ma conunque continua ad attacare il russo come un maledetto, sono le stesse frasi che usa duke con apollo, che si verificano anche in rocky 4 quando rocky combatte",Neutrale
UgycMalgGX7R7Bs0vqB4AaABAg,"La ""E"" senza accento 🤦🏻‍♂️ a meno che lo scoop stia nel fatto che chiellini e comolli siano la stessa persona.",null
Ugycfm3sDRdlAiQZnlt4AaABAg,"Invece di Comonlli, dovevate prendere Comonqui, era più funzionale..😂😂😂😂😂",null
UgxRp37pZ85LcP8ryud4AaABAg,Hahahaha che puttanate,null
UgwGsDQXI1u_KFxrTb14AaABAg,"Prossima collaborazione con ""Un Toscano sull'Onda""!",null
Ugyr7KLYjIxXWU4uexZ4AaABAg,In mezzo al mare poi siete andati? ... Schhhhhh,null
UgzfemqxLV4Hpg7rZLt4AaABAg,8:32.  Grazie di esistere Nello!,null
UgyJo6-J4E_LxU5aCih4AaABAg,sempre tosti i boys di ostia e ladispoli  💪💦💦💦,null
UgwBisQKOyU9VdHSKlt4AaABAg,"Grande Roby, che vlog e che paninozzi 😂",null
UgweezGB1ns7l7tIZzt4AaABAg,Qui c'è un concentrato di topperia !! ❤,null
UgxspJ6PuUwOrTTsgt14AaABAg,Il panino sempre,null
UgxpGCR3eC9PKXsktSV4AaABAg,Grande Rafagann,null
UgxVmnmAM-loiBJB4054AaABAg,Daje Roby!!! 🤙 numero uno💙,null
UgxNPtc4V3yDPJLv5Kx4AaABAg,5:18 🔥 7:45 Mezzo metro...hawaiian 😅,null
UgxojZBwY4k5rMCe81N4AaABAg,Un deleite para los oido,null
UgxqyhidjgRUp7S3UQZ4AaABAg,Sounds amazing.,null
UgwMVl-J_JmZMRGQQcx4AaABAg,what cam is she running mate?,null
UgyuaZrbmDL3D4ZUM2p4AaABAg,il Bro NON cambiera qualcosa,Negativo
UgyQZo-OTyZkQvyqWfR4AaABAg,Finalmente qualcuno che lo dice💯💯👏🏻👏🏻👏🏻👏🏻🙏🏻🙏🏻,Positiva
UgyX4xsjNCRBx9e3_wB4AaABAg,Complimenti!Sono pienamente d'accordo con i temi che hai trattato!Continua così e farai strada!,Positiva
UgywJX0a9PKk88FIDRd4AaABAg,🙏👏👏👏. Non ho nient'altro da dirti.,Positiva
UgwLME8TxPqcjPTF6014AaABAg,"Sono un ragazzo di 15 anni , e si , dopo aver sentito il tuo discorso posso dire che sono pienamente d'accordo. Anche se personalmente non ho avuto problemi a studiare, ma questo fatto di aprire gli studenti a ciò che è il mondo. Le strade nella vita sono tante e molte cose sono cambiate rispetto a ciò che il mondo era anni fa'. Soprattutto sono molto d'accordo per la questipne del teatro e dell' educazione finanziaria, perché oggi giorno è un aspetto molto importante saper dominare le paure e interagire con un ""pubblico"" , ma anche la finanza è altrettanto più importante. Purtroppo professori poco empatici ne ho incontrati molti , contando anche che recentemente ho attraversato una fase particolarmente difficile della mia vita. Ma sono contento che molte altre persone la pensino come me , e sarebbe meglio prendere l'iniziativa per cambiare le cose in qualche modo . Grazie mille, continua così",Positiva
UgwuZreILxetc0SPna94AaABAg,"Video sugli hater: https://youtu.be/yT4EoHb82hM
POSTER FIRMATI: https://amzn.to/3Ho9IbO",Neutrale
UgwSVe13TPw3YRY1pIt4AaABAg,ingegnere aereospaziale ridicolo,Negativo
UgxwN3za_xq8DWu9cqB4AaABAg,Con i soliti grillini complottari non c'è niente da fare. Bisognerebbe montarli su un razzo e tirarli sulla Luna,Negativo
Ugy75KBUsrsa4XRrudl4AaABAg,E questo scemo sarebbe un ingegnere?😂😂😂,Negativo
Ugz0Gr5Ph2Kw_HCVffl4AaABAg,"Ma questo malessere di fare corsa allo spazio ce lo ha solo lì americani, perché gli altri non sembrano che lo abbia, i americani hanno sempre bisogno di applausi .",Neutrale
Ugz8N-NvQhkYn1yChXp4AaABAg,"Esempio perfetto di come "" attaccarsi ai vetri""!   Che risposte deludenti! 

.. eeano rischiosissimo andare sulla Luna... ma se ci sono andati x ben 6 volte di fila! 😂😂..",Complottismo
UgwQeSBUTVZnpkqAgSJ4AaABAg,Credere ancora al programma Apollo nel 2024 è un vero e proprio atto di fede. Complimenti alla vostra tenacia.,Complottismo
Ugyz_ya8PHrbpc-Cwlt4AaABAg,"Non ci crede nessuno all allunagggio, Ma quante cazzate ha sparato😂😂😂   Cmq io rivoglio i miei 16 euro all'anno indietro",Complottismo
UgxJPF4ukFrFDrBOG7x4AaABAg,Non ci crede neanche Alberto a quello che dice Victor,Neutrale
UgzcYtHYfjoHBbq7dmF4AaABAg,Ma che dici. Con le nuove tecnologie dovrebbe costare un centesimo rispetto all' investimento dell' epoca. Ridicolo 😂😂😂😂😂,Negativo
Ugz0oODnnS1ZGTwblWp4AaABAg,Ma chi siete? I figli di ATTIVISSIMO!!!!!!! Sempre e le stesse identiche risposte!!!!!!,Negativo
UgyHNlVeq6Dwz0b4yQ54AaABAg,"Guardate ""American Moon"" e rispondete alle domande che questo documentario pone",Disinformazione
UgzNfKW0Pa_OHW6DuDJ4AaABAg,"Mi sembra più che EVIDENTE che neanche oggi siamo in grado di mandare esseri viventi sulla LUNA e farli tornare vivi, figuriamoci 54 anni fa!
Solo gli Astro Buffoni non ne vedono l’evidenza!",Complottismo
UgyZRRJ4Jg0Bb-ujvqx4AaABAg,"Le 400000 persone che hanno lavorato al progetto non erano tutte dipendenti della NASA, ma la maggior parte erano dipendenti di società private che avevano gli appalti con la NASA.",Neutrale
UgzlYxqyAYhnw22740V4AaABAg,"Intanto non troppo tempo fà piu di 1 professionista ha mostarto le prove del finto allunaggio a Putin , in live ... Solo che voi deficenti nel senso proprio che ignorate non conoscete e non vi informate  gridate al ""complottismo"" parola crata appositamnete dai servizi segreti americani per dividere e screditare verità scomode come questa , o il fatto cue l'11 settembre sia un lavoro interno . E la cosa piú divertente è che sono loro stessi a dirlo su docuemnti ufficilai ma le masse sono troppo stupide (letteralmente) per riuscire a comprendere e loro lo sanno benissimo , stidiano reazioni e vari metodi psicologici da sempre per indottrinare le menti piú deboli",Complottismo
Ugyb9RJ_Eh4K8fdvRCZ4AaABAg,"Tutti questi discorsi ormai non fanno più presa, la gente ormai ha capito che le missioni apollo sono fake.

Spiaze",Complottismo
UgxGXEXecP7FV9uVy7J4AaABAg,"🤣🤣🤣Noi avevamo PINOCCHIO, loro gli ASTRONASONI🤣🤣🤣",Negativo
UgwTOKO_j5tcLhh2vd54AaABAg,Meritano un buono da 5 vaccini gratis per entrambi!,Negativo
UgzbQ4Z32XGBgsujIKd4AaABAg,"Ci sono andati sulla luna, abbiate fede!",Negativo
UgyUMynPEk-zxw2vKMJ4AaABAg,https://www.youtube.com/watch?v=IOVK1gAvo8A,Neutrale
UgwTtu8auNr_aF8qPdF4AaABAg,"Non serve ne il budget neanche i dipendenti di 54 anni. Hanno già la tecnologia e l'esperienza, ci sono andati e tornati in tutta sicurezza per ben 6 volte, non capisco.",Neutrale
Ugy_cZN3aojX7L4xSWR4AaABAg,"Apprezzo l' impegno, ma non credo ad una sola parola di ciò che viene detto. Ormai la cazzata è stata fatta, aver cercato di far credere che il primo  sbarco sulla luna è avvenuto. Ora cercare di tornare indietro e dire scusa, e soprattutto che non c'è mai stato uno sbarco vero risulta difficile.. Quindi NON CI CREDO NELLA MANIERA PIÙ ASSOLUTA.",Complottismo
UgzL2ookTjnjzC1xk2l4AaABAg,"""Bla bla bla bla"" is the new ""fidati!"".",Negativo
Ugx3suU5ZvU6dRrvxYN4AaABAg,Infatti troppi miliardi ci volevano e senza nessuna certezza poi hanno scoperto che bastava giusto qualche migliaia di dollari per allestire uno studio e girare alcuni filmati e foto da dilettanti e cavarsela lo stesso agli occhi del mondo. Scelta saggia alla fine,Complottismo
Ugwa8Zeh7wo8Lp-378V4AaABAg,"Non era tecnologia di base ma non era nemmeno tecnologia veramente, basta un pò di stagnola color rame, dei tubi in pvc, cartoncino grigio e alla fine incolli tutto con il nastro adesivo trasparente. Et voilà il LEM.....XD",Complottismo
Ugzlewua2LDBOre5Y5p4AaABAg,Questi ragionamenti li ho sentiti per anni. Per dire nel 69 ero già nato. Non date spiegazione tecnologiche. Solo chiacchiere,Negativo
UgwaWudoaA6gnENKYsl4AaABAg,Bellissimo video. Chiaro e interessante.,Positiva
UgzxCkmrgbh7t9cTNu94AaABAg,Dopo aver sentito parlare i complottisti tendo a pensare che gli americani sisno stati pure su Marte.,Neutrale
UgwfcNUJXgen2CDj0DV4AaABAg,una volta l'abuso della credulità popolare era un reato.,Negativo
UgzopIbcFhB_TM8iqDB4AaABAg,"Se fossero veramente andati sulla luna, oggi ci sarebbero come minimo delle basi per ospitare l'uomo, come in qualsiasi esplorazione umana fatta sino ad oggi, comprese quelle ostili e costosissime, come in Antartide e nello spazio con la stazione spaziale! Questa è la prova più logica e ragionevole che dimostra che lo sbarco sulla Luna non è mai avvenuto! Inoltre ci sono una moltitudine di libri e documentari che aggiungono centinaia di altre prove tecniche, politiche ed economiche che lo dimostrano, in solo questo documentario ne potete costatare 42: https://www.youtube.com/watch?v=IOVK1gAvo8A&t=1505s 
Inoltre mi pare più che EVIDENTE, che neanche oggi dopo 54 anni sono in grado di inviare esseri viventi sulla Luna e farli tornare vivi! 
PS La tecnologia dopo 54 anni ha fatto passi da gigante, se con lo Scotch sono andati sulla Luna, oggi con L'Attak possono andare su Marte!🤣",Complottismo
UgxGZpqNBU6H3HNEo2J4AaABAg,Il 9 ottobre 1969 in occasione della visita del museo nazionale olandese da parte dei 3 astronauti dell'apollo 11 l'ambasciatore americano Middendorf regalò al primo ministro olandese Piet de Jong una roccia lunare. Il museo di Amsterdan la fece analizzare è si scoprì che era legno pietrificato! Sti americani son forti!,Disinformazione
Ugw9GtpxlixtwHzj1nJ4AaABAg,"1° errore già dopo 2 minuti.

I soldi stanziati 54 anni fa vedevano un progetto totalmente nuovo e senza esperienza,da zero.

Paragonare i soldi stanziati allora con quelli che ci vorrebbero oggi,con tutta l'esperienza fatta e il miglioramento tecnologico raggiunto,è semplicemente sbagliato e tremendamente fallace. Usate sempre lo stesso esempio e non vi accorgete del mega errore.

Comunque è assurdo come usiate,TUTTI coloro che non si pongono dubbi in merito,sempre le 3 stesse scuse. è semplicemente pazzesco.

2° errore clamoroso. Le radiazioni.

Non è morto un solo astronauta a causa delle radiazioni.NON UNO. Anzi,diversi sono ancora vivi,e i dati ufficiali della NASA dell'epoca confermano la quasi totale innocuità delle stesse.

Non ha alcun senso mandare manichini in orbita per capire l'effetto delle radiazioni sull'uomo quando abbiamo avuto ripetutamente la prova provata (a detta loro) che le radiazioni sono innocue.

Dovreste fare un confronto con Massimo Mazzucco che ha fatto un docufilm di oltre 3 ore in cui mette in luce moltissime cose che fanno dubitare del fatto che gli USA  abbiamo mai mandato qualcuno sulla Luna.",Complottismo
UgyEEPHLh_0IgNOnBBN4AaABAg,"La roccia LUNARE per l'ambasciatore Olandese 😱 🤣🤣🤣:
https://www.youtube.com/watch?v=ahVjUwrVxnE",Disinformazione
UgzWNQ9JfhSXwiQpMKd4AaABAg,"Abbiamo telescopi che vedono sino a 80.000 anni luce, ma non ne abbiamo neanche UNO per vedere le 6 basi dei LEM lasciati dai NASONI sulla luna !?!?!?",Complottismo
